1A5
421
8
Time,Channel A,Channel B
(ms),(V),(V)
0.06396997,2.98336000,2.13444300
0.06397197,2.98735900,2.13029000
0.06397397,2.99151100,2.12629200
0.06397597,2.99550900,2.12244700
0.06397797,2.99950800,2.11844800
0.06397997,3.00335300,2.11429600
0.06398197,3.00735100,2.11045100
0.06398397,3.01150300,2.10645300
0.06398597,3.01565600,2.10230100
0.06398797,3.01965400,2.09830200
0.06398997,3.02365300,2.09445700
0.06399197,3.02780500,2.09045900
0.06399397,3.03180400,2.08630700
0.06399597,3.03564800,2.08215400
0.06399797,3.03980100,2.07831000
0.06399997,3.04379900,2.07415700
0.06400197,3.04779800,2.07015900
0.06400397,3.05179600,2.06600600
0.06400597,3.05594800,2.06216200
0.06400797,3.05979300,2.05816300
0.06400997,3.06379200,2.05401100
0.06401197,3.06779000,2.04985900
0.06401397,3.07194300,2.04601400
0.06401597,3.07594100,2.04201500
0.06401797,3.07978600,2.03817100
0.06401997,3.08378400,2.03401800
0.06402197,3.08793700,2.02955800
0.06402397,3.09193500,2.02540600
0.06402597,3.09608800,2.02156100
0.06402797,3.10024000,2.01710100
0.06402997,3.10439200,2.01325700
0.06403197,3.10839100,2.00910400
0.06403397,3.11238900,2.00510600
0.06403597,3.11638800,2.00080000
0.06403797,3.12069400,1.99664700
0.06403997,3.12469200,1.99280300
0.06404197,3.12853700,1.98880400
0.06404397,3.13284300,1.98480600
0.06404597,3.13699600,1.98065300
0.06404797,3.14114800,1.97680900
0.06404997,3.14499300,1.97265600
0.06405197,3.14929900,1.96850400
0.06405397,3.15314300,1.96450500
0.06405597,3.15714200,1.96066100
0.06405797,3.16114000,1.95650800
0.06405997,3.16529300,1.95251000
0.06406197,3.16944500,1.94835700
0.06406397,3.17344400,1.94451300
0.06406597,3.17759600,1.94036000
0.06406797,3.18159400,1.93636200
0.06406997,3.18543900,1.93205600
0.06407197,3.18943800,1.92790400
0.06407397,3.19359000,1.92390500
0.06407597,3.19774200,1.91975300
0.06407797,3.20174100,1.91590800
0.06407997,3.20589300,1.91160200
0.06408197,3.20989200,1.90760300
0.06408397,3.21404400,1.90360500
0.06408597,3.21819600,1.89929900
0.06408797,3.22219500,1.89545400
0.06408997,3.22634700,1.89130200
0.06409197,3.23034600,1.88714900
0.06409397,3.23449800,1.88315100
0.06409597,3.23834300,1.87899900
0.06409797,3.24234100,1.87515400
0.06409997,3.24649400,1.87115500
0.06410197,3.25049200,1.86715700
0.06410397,3.25464400,1.86331200
0.06410597,3.25879700,1.85916000
0.06410797,3.26279500,1.85500700
0.06410997,3.26694800,1.85070100
0.06411197,3.27094600,1.84670300
0.06411397,3.27479100,1.84255000
0.06411597,3.27925100,1.83855200
0.06411797,3.28324900,1.83470700
0.06411997,3.28740200,1.83070900
0.06412197,3.29155400,1.82686400
0.06412397,3.29555200,1.82286500
0.06412597,3.29939700,1.81855900
0.06412797,3.30355000,1.81456100
0.06412997,3.30770200,1.81071600
0.06413197,3.31170000,1.80625600
0.06413397,3.31569900,1.80241100
0.06413597,3.31969700,1.79825900
0.06413797,3.32385000,1.79426100
0.06413997,3.32800200,1.79010800
0.06414197,3.33200000,1.78626400
0.06414397,3.33615300,1.78211100
0.06414597,3.33999800,1.77811300
